Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),pro,method
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0755166757905543,,,0.06759314724319333,0.06739150287812443,0.05946688076928253,,0.06516421908839101,,,,,0.06242836447683611,0.004161159154069907,,,,0.07187417099128501,synapse_1.1,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013518737520317148,,,0.11356526927387724,0.04287523204371057,0.0379601016840943,,0.06314462844732768,,,,,0.07205939318053388,0.02545535159779318,,,,0.07703201863540822,synapse_1.2,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02612512009763841,,,,0.08241351630289276,0.04278781662375329,,0.10337354600977511,,,,,0.08092922937497317,0.009948305666683935,,,,0.11965139260046369,Tomcat_6.0.39,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0886293658130206,,,0.04790772732657274,0.03795709343340326,0.08862355957195864,,0.05973231851910832,,,,,0.0565169096317741,,0.060595564311921084,,,0.04577057584753331,velocity_1.4,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06122474009008835,0.021969947844477682,,,,0.06166112683446158,0.03229797814229292,,,,0.06476492559758139,,,0.0974976795425124,,0.03636846803657105,,,0.06599040792020601,velocity_1.5,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05268105707080244,0.029926806626506677,,,,0.04110055232420639,0.03634356854097905,,,,0.05009900765205717,,,0.1482979332429699,,0.05338975860785541,,,0.05625184447330673,velocity_1.6.1,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031093619289155158,,,,0.07797150337564727,0.03819083832077443,,0.1230243552748435,,,,,0.05585250873774294,,,,,0.13898150956165684,xalan_2.4.0,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039927679308180135,,,,0.06791660418071375,0.0536288198050256,,0.0789469985263577,,,,,0.06107313501301012,0.0219284122313822,,,,0.06695629340490865,xalan_2.5.0,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03790178506054308,,,,0.05399138936896366,0.042930804137429314,,0.0997761407421394,,,,,0.09607835390601475,0.02936209702799529,,,,0.06441057690939882,xalan_2.6.0,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06063764693534908,0.07793928548130277,,,,0.07640248339392039,,0.0767259476109271,0.10734281752945757,,0.015718082120648413,,,0.0814856407033309,xerces_1.2.0,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05251537799707951,0.0493724520508966,,,,0.20096192483117073,,0.03637975564708306,0.03815954156551602,,0.039712046593198436,,,0.08074832903272237,xerces_1.3.0,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02804999308534626,0.2111448678223523,,,,0.010945192564009481,,0.1668151257971873,0.036865544362837906,,0.049145387078110676,,,0.07083621585374306,xerces_1.4.4,code_nosize
,,,0.024274311281108525,,0.006675714194664641,0.014130175901644252,,,,,,,0.0,0.0,,,,0.03596888930752312,,0.033849373060792144,,,,0.06135084227448983,,,0.007967976349349816,0.0,0.0,,,,,0.0216791793430514,,,,,,0.02636832657488896,,0.013718371376571066,0.0,0.0,,,,,0.032840503602827587,,,,,,,0.06319395213009653,,,0.011519933974163149,0.029408054936472215,,,,,,,,0.016584348281205825,,,0.02953364294244905,,,,0.022687887775135977,0.021795455236161585,,0.007725657961456983,,,0.013951646209393058,ant_1.4,cs_
